委托时间,合约,买卖,开平,委托价格,委手,成手,状态,备注
14:54:38,SA602P1100,　卖,开　,6.5,5,5,已成交,全部成交
14:54:07,SA602C1260,　卖,开　,6.5,10,10,已成交,全部成交
14:47:09,pt2606-P-656,　卖,开　,74.8,1,1,已成交,全部成交
14:30:50,pd2606,买　,开　,546.6,1,1,已成交,全部成交
13:55:02,ao2602C3400,　卖,开　,25,10,10,已成交,全部成交
13:54:53,ao2602C3300,　卖,开　,30.5,10,10,已成交,全部成交
13:48:57,SH602C2360,　卖,开　,16,10,10,已成交,全部成交
13:48:32,SH602P2080,　卖,开　,16,20,20,已成交,全部成交
13:41:50,pt2606-P-688,　卖,开　,95,1,1,已成交,全部成交
13:41:31,pt2606-P-696,　卖,开　,101,1,1,已成交,全部成交
11:17:05,jm2605,　卖,开　,1097,1,1,已成交,全部成交
11:09:22,IM2601,买　,　平,7633.4,1,1,已成交,全部成交
11:08:12,IM2601,　卖,　平,7634.6,2,2,已成交,全部成交
11:07:56,IM2601,　卖,开　,7634.8,3,1,部分成交，已撤单,已撤单
11:07:39,IM2601,　卖,　平,7631.6,2,2,已成交,全部成交
11:07:24,IM2602,买　,开　,7571.8,5,5,已成交,全部成交
11:07:16,IM2602,买　,开　,7569.6,5,5,已成交,全部成交
11:07:08,IM2601,　卖,　平,7634.2,5,5,已成交,全部成交
11:06:14,IM2601,　卖,　平,7639.2,5,0,未成交，已撤单,已撤单
10:14:41,jm2605,买　,　平,1081.5,1,1,已成交,全部成交
10:12:16,TA602C5600,　卖,开　,41.5,10,10,已成交,全部成交
10:12:13,TA602C5600,　卖,开　,41.5,10,10,已成交,全部成交
09:54:02,TA602C5600,　卖,开　,41,10,10,已成交,全部成交
09:53:58,TA602C5600,　卖,开　,41.5,3,3,已成交,全部成交
09:46:21,TA602C5600,　卖,开　,44,3,3,已成交,全部成交
09:24:12,eb2602,　卖,开　,6630,3,3,已成交,全部成交
09:24:02,eb2605,　卖,开　,6776,3,3,已成交,全部成交
09:23:50,eg2602,　卖,开　,3678,3,3,已成交,全部成交
09:08:22,v2609,　卖,开　,4861,2,2,已成交,全部成交
09:08:05,v2602,　卖,开　,4492,1,1,已成交,全部成交
09:06:16,lc2602-P-114000,　卖,开　,1280,3,3,已成交,全部成交
09:04:19,ag2605,买　,开　,18515,1,1,已成交,全部成交
09:04:18,ag2605,买　,开　,18513,1,1,已成交,全部成交
09:03:18,lc2602-P-114000,　卖,开　,1310,3,3,已成交,全部成交
09:02:53,lc2602-C-138000,　卖,开　,1960,3,3,已成交,全部成交
09:02:39,lc2602-C-128000,买　,　平,4670,3,3,已成交,全部成交
09:00:50,ag2605,买　,开　,18276,1,1,已成交,全部成交
09:00:39,ag2605,买　,开　,18296,1,1,已成交,全部成交
21:18:54,sc2602C480,　卖,开　,1.9,1,1,已成交,全部成交
21:10:38,sc2602C480,　卖,开　,2,1,1,已成交,全部成交
21:10:30,sc2602C480,　卖,开　,1.95,1,1,已成交,全部成交
21:07:38,SA609,　卖,开　,1251,1,1,已成交,全部成交
21:05:59,v2609,　卖,开　,4890,3,3,已成交,全部成交
21:05:33,v2601,买　,　平,4465,3,3,已成交,全部成交
21:04:13,ag2604,买　,开　,17490,2,2,已成交,全部成交
21:03:55,ag2601,　卖,　平,17448,2,2,已成交,全部成交
21:03:20,au2606,买　,开　,1013.4,2,2,已成交,全部成交
21:03:11,au2601,　卖,　平,1005.44,2,2,已成交,全部成交
21:02:39,zn2601,　卖,　平,23085,1,1,已成交,全部成交
21:02:09,al2604,买　,开　,22375,10,10,已成交,全部成交
21:02:02,al2601,　卖,　平,22200,10,10,已成交,全部成交
21:01:34,ni2604,买　,开　,127260,7,7,已成交,全部成交
21:01:16,ni2601,　卖,　平,126180,7,7,已成交,全部成交
