ºÏÔ¼,·½Ïò,ÊôÐÔ,³Ö²Ö,¿ÉÓÃ,¿ª²Ö¾ù¼Û,³Ö²Ö¾ù¼Û,¸¡¶¯Ó¯¿÷,³Ö²ÖÓ¯¿÷
ag2604,Âò¡¡,½ñ²Ö,2,2,17483,17483,24750,24750
ag2605,Âò¡¡,½ñ²Ö,4,4,18398.5,18398.5,-4710,-4710
al2602,Âò¡¡,×ò²Ö,2,2,21947.5,22170,4575,2350
al2604,Âò¡¡,½ñ²Ö,10,10,22374,22374,6050,6050
ao2602C3300,¡¡Âô,½ñ²Ö,10,10,30.5,30.5,100,100
ao2602C3400,¡¡Âô,½ñ²Ö,10,10,25,25,-100,-100
AP603P8700,¡¡Âô,-,1,1,104,85.5,390,205
AP605,¡¡Âô,-,2,2,9728.5,9193,9630,-1080
au2606,Âò¡¡,×ò²Ö,2,2,940.69,1012.92,160100,15640
au2606,Âò¡¡,½ñ²Ö,2,2,1013.4,1013.4,14680,14680
cu2606,Âò¡¡,×ò²Ö,1,1,95780,95470,15550,17100
eb2602,¡¡Âô,-,3,3,6630,6630,-2355,-2355
eb2605,¡¡Âô,-,6,6,6730.167,6761.5,-4915,-3975
eb2609,¡¡Âô,-,6,6,6816.833,6800,-2855,-3360
eg2602,¡¡Âô,-,6,6,3682.667,3685.667,-1520,-1340
eg2602-C-3850,¡¡Âô,-,1,1,21,37.5,-175,-10
eg2602-P-3550,¡¡Âô,-,4,4,16.125,22,65,300
eg2604,¡¡Âô,-,2,2,3697.5,3800,-2750,-700
FG602,¡¡Âô,-,12,12,998.667,987,1120,-1680
FG602C1000,¡¡Âô,-,10,10,28,19.5,600,-1100
FG602P940,¡¡Âô,-,22,22,8.773,7,1000,220
FG609,¡¡Âô,-,3,3,1329.667,1148,10180,-720
i2602,Âò¡¡,-,64,64,779.344,792.5,122600,38400
i2602-C-780,¡¡Âô,-,1,1,23.1,19.1,-190,-590
i2602-C-790,¡¡Âô,-,25,25,11.34,13.5,-17400,-12000
i2602-C-800,¡¡Âô,-,18,18,9.372,9.3,-6890,-7020
i2602-C-810,¡¡Âô,-,15,15,12.727,6.5,5440,-3900
i2602-P-780,¡¡Âô,-,10,10,7.6,6.6,1000,0
IM2601,Âò¡¡,-,18,18,7207.867,7559.8,1393680,126720
IM2602,Âò¡¡,-,21,21,7463.152,7527.152,280760,11960
IM2603,Âò¡¡,-,11,11,6973.945,7429.8,1096600,93720
IM2606,Âò¡¡,-,3,3,6929.4,7195,182760,23400
jd2608,¡¡Âô,-,5,5,4285.8,4317,-2410,-850
jm2605,¡¡Âô,-,3,3,1088.833,1117,-4800,270
jm2609,¡¡Âô,-,2,2,1155.5,1204.5,-4800,1080
lc2602-C-138000,¡¡Âô,-,9,9,1306.667,1120,-12270,-13950
lc2602-P-100000,¡¡Âô,-,9,9,836.667,360,5550,1260
lc2602-P-106000,¡¡Âô,-,1,1,1060,1070,610,620
lc2602-P-108000,¡¡Âô,-,7,7,1020,1460,3430,6510
lc2602-P-110000,¡¡Âô,-,5,5,1150,1940,2300,6250
lc2602-P-112000,¡¡Âô,-,5,5,1450,2530,2850,8250
lc2602-P-114000,¡¡Âô,-,6,6,1295,1295,930,930
lc2602-P-92000,¡¡Âô,-,1,1,330,50,260,-20
lh2603-C-12200,¡¡Âô,-,2,2,113.75,145,-3720,-2720
lh2603-C-14400,¡¡Âô,-,2,2,47.5,40,-320,-560
lh2603-C-14800,¡¡Âô,-,2,2,32.5,32.5,-560,-560
lh2603-P-10400,¡¡Âô,-,1,1,40,27.5,200,0
lh2609,¡¡Âô,-,8,8,13545,13570,-15360,-12160
MA602,¡¡Âô,-,10,10,2097,2164,-5400,1300
MA602C2075,¡¡Âô,-,10,10,40.5,98,-4750,1000
MA602P2000,¡¡Âô,-,10,10,20,2.5,1700,-50
MA602P2025,¡¡Âô,-,10,10,23.5,4,1950,0
MA605,¡¡Âô,-,20,20,2253,2165,18400,800
ni2604,Âò¡¡,½ñ²Ö,7,7,127251.429,127251.429,970,970
pd2606,Âò¡¡,-,8,8,498.031,529.1,140950,-107600
pd2606-C-664,¡¡Âô,-,5,5,27.54,29.25,-87550,-79000
pd2606-P-380,¡¡Âô,-,2,2,22.9,13.5,22200,3400
pd2606-P-416,¡¡Âô,-,1,1,26.65,22.7,10750,6800
pd2606-P-432,¡¡Âô,-,5,5,27.2,27.8,-19000,-16000
pd2606-P-456,¡¡Âô,-,1,1,32,36.65,-6700,-2050
pd2606-P-472,¡¡Âô,-,1,1,49,43.35,12000,6350
pd2606-P-496,¡¡Âô,-,2,2,53.825,54.55,-46350,-44900
pg2602,Âò¡¡,-,57,57,4093.14,4095,-14980,-17100
pg2602-C-4150,¡¡Âô,-,40,40,52.8,54.4,2240,3520
pg2602-C-4300,¡¡Âô,-,10,10,75.6,22.4,10960,320
pg2603,Âò¡¡,-,41,41,3902.171,3983,53980,-12300
pg2609,Âò¡¡,-,2,2,3810,3779,-1240,0
ps2602-P-53000,¡¡Âô,-,2,2,263.5,248,357,264
pt2606,Âò¡¡,-,2,2,479.9,645.35,450800,119900
pt2606-P-440,¡¡Âô,-,1,1,32.45,11.7,24000,3250
pt2606-P-480,¡¡Âô,-,1,1,23.1,19.85,8450,5200
pt2606-P-520,¡¡Âô,-,1,1,53,31.05,30000,8050
pt2606-P-536,¡¡Âô,-,1,1,54,36.45,28800,11250
pt2606-P-656,¡¡Âô,-,1,1,74.8,74.8,-6000,-6000
pt2606-P-688,¡¡Âô,-,1,1,95,95,0,0
pt2606-P-696,¡¡Âô,-,1,1,101,101,5150,5150
SA602,¡¡Âô,-,35,35,1130.086,1141,-16740,-9100
SA602C1260,¡¡Âô,-,10,10,6.5,6.5,-100,-100
SA602P1060,¡¡Âô,-,30,30,7.083,2.5,3350,600
SA602P1100,¡¡Âô,-,5,5,6.5,6.5,0,0
SA609,¡¡Âô,-,1,1,1251,1251,-140,-140
sc2602C475,¡¡Âô,×ò²Ö,2,2,2.325,1.85,750,-200
sc2602C480,¡¡Âô,×ò²Ö,1,1,2,1.3,250,-450
sc2602C480,¡¡Âô,½ñ²Ö,3,3,1.95,1.95,600,600
SH602,¡¡Âô,-,4,4,2141.75,2160,-5910,-3720
SH602C2080,¡¡Âô,-,10,10,58,97.5,-21000,-9150
SH602C2360,¡¡Âô,-,10,10,16,16,-900,-900
SH602P1980,¡¡Âô,-,10,10,13,3,3300,300
SH602P2040,¡¡Âô,-,10,10,27,9,6150,750
SH602P2080,¡¡Âô,-,20,20,16,16,900,900
SH603,¡¡Âô,-,6,6,2120,2232,-26640,-6480
SH605,¡¡Âô,-,13,13,2453.846,2346,27630,-14430
TA602C5600,¡¡Âô,-,36,36,41.583,41.583,-3225,-3225
v2602,¡¡Âô,-,33,33,4478.576,4486.182,-15745,-14490
v2609,¡¡Âô,-,11,11,4891.364,4870.545,-3885,-5030
